Krajina,Kód,Hlavné mesto,Obyvateľské meno,Prídavné meno,Mena,Continent,Colour,CapitalLatitude,CapitalLongitude
Mauritánia,MR,Nouakchott,"Mauritánec, Mauritánka",mauritánsky,ukija,Africa,5,18.066666666666666,-15.966667000000001
Menšie odľahlé ostrovy Spojených štátov,UM,—,—,z Menších odľahlých ostrovov Spojených štátov,americký dolár,Oceania,1,38.883333,-77.0
Mexiko,MX,Mexiko,"Mexičan, Mexičanka",mexický,mexické peso,North America,3,19.433333333333334,-99.133333
Mikronézia,FM,Palikir,"Mikronézan, Mikronézanka",mikronézsky,americký dolár,Oceania,1,6.916666666666668,158.15
Mjanmarsko/Barma,MM,Nepjito,obyvateľ Mjanmarska/Barmy,mjanmarský/barmský,kyat,Asia,6,16.8,96.15
Moldavsko,MD,Kišiňov,"Moldavec, Moldavka; Moldavčan, Moldavčanka",moldavský,moldavský leu,Europe,2,47.0,28.85
Monako,MC,Monako,"Monačan, Monačanka",monacký,euro,Europe,2,43.73333333333333,7.4166669999999995
Mongolsko,MN,Ulanbátar,"Mongol, Mongolka",mongolský,tugrik,Asia,6,47.91666666666666,106.91666699999999
Montserrat,MS,Plymouth,"Montserratčan, Montserratčanka",montserratský,východokaribský dolár,North America,3,16.7,-62.216667
Mozambik,MZ,Maputo,"Mozambičan, Mozambičanka",mozambický,metical,Africa,5,-25.95,32.583333
Namíbia,NA,Windhoek,Namíbijčan/Namíbijčanka,namíbijský,namíbijský dolár/rand,Africa,5,-22.566666666666666,17.083333
Nauru,NR,Yaren,"Nauručan, Nauručanka",nauruský,austrálsky dolár,Oceania,1,-0.5477,166.920867
Nemecko,DE,Berlín,"Nemec, Nemka",nemecký,euro,Europe,2,52.51666666666666,13.4
Nepál,NP,Káthmandu,"Nepálčan, Nepálčanka; Nepálec, Nepálka",nepálsky,nepálska rupia,Asia,6,27.716666666666665,85.31666700000001
Niger,NE,Niamey,"Nigerčan, Nigerčanka",nigerský,frank CFA,Africa,5,13.516666666666667,2.1166669999999996
Nigéria,NG,Abuja,"Nigérijčan, Nigérijčanka",nigérijský,naira,Africa,5,9.083333333333334,7.533333
Nikaragua,NI,Managua,"Nikaragujčan, Nikaragujčanka",nikaragujský,córdoba oro,North America,3,12.133333333333333,-86.25
Niue,NU,Alofi,"Niuečan, Niuečanka",niueský,novozélandský dolár,Oceania,1,-19.016666666666666,-169.916667
Nórsko,NO,Oslo,"Nór, Nórka",nórsky,nórska koruna,Europe,2,59.91666666666666,10.75
Nová Kaledónia,NC,Nouméa,"Novokaledónčan, Novokaledónčanka",novokaledónsky,frank CFP,Oceania,1,-22.266666666666666,166.45
Nový Zéland,NZ,Wellington,"Novozélanďan, Novozélanďanka",novozélandský,novozélandský dolár,Oceania,1,-41.3,174.783333
Omán,OM,Maskat,"Ománčan, Ománčanka",ománsky,ománsky rial,Asia,6,23.61666666666667,58.583332999999996
Ostrov Man,IM,Douglas,"Mančan, Mančanka",manský,manská libra/libra šterlingov,Europe,2,54.15,-4.483333
Ostrov Norfolk,NF,Kingston,"Norfolčan, Norfolčanka",norfolský,austrálsky dolár,Oceania,1,-29.05,167.966667
Ostrovy Severné Mariány,MP,Saipan,"Severomariánčan, Severomariánčanka",severomariánsky,americký dolár,Oceania,1,15.2,145.75
Pakistan,PK,Islamabad,"Pakistanec, Pakistanka",pakistanský,pakistanská rupia,Asia,6,33.68333333333333,73.05
Palau,PW,Melekeok,"Palaučan, Palaučanka",palauský,americký dolár,Oceania,1,7.4833333333333325,134.633333
